旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
香格?拉台北遠東國際?飯店,"9,659","4,139","13,798","1,416","3,121",816,"1,015","1,626",531,212,558,"2,886",691,707,219,0,"13,798",,
美麗信花園酒店,"3,837","4,707","8,544","1,811","2,103","2,924",552,373,79,16,183,288,193,14,8,0,"8,544",,
台北寒舍艾美酒店,"4,899",90,"4,989","1,255","1,010",102,61,764,299,50,130,"1,033",208,48,29,0,"4,989",,
台北W飯店,"11,768",703,"12,471","1,650","4,720",271,324,"1,403",562,218,318,"2,305",466,208,26,0,"12,471",,
台北萬豪酒店,"7,821",731,"8,552","1,397","1,601",214,"1,054",448,360,74,"1,141","1,908",178,90,87,0,"8,552",,
台北美福?飯店,"4,242",287,"4,529","1,781",693,289,987,272,24,20,76,264,73,47,3,0,"4,529",,
亞?都飯店,513,220,733,359,88,220,10,12,5,7,3,29,0,0,0,0,733,,
第??飯店,496,"6,208","6,704",458,"2,136","1,495",149,108,7,12,242,808,58,0,"1,231",0,"6,704",,
六福客棧,"6,008","2,368","8,376","1,092","1,326","4,771",64,516,0,0,262,190,12,19,124,0,"8,376",,
洛碁?飯店花華本館,435,"3,561","3,996",361,52,"2,645",34,834,27,18,0,8,0,0,0,17,"3,996",,
義華酒店,341,295,636,49,39,9,41,33,9,19,306,84,30,2,15,0,636,,
歐華酒店,"3,058",0,"3,058",622,320,889,223,221,37,53,207,282,146,39,19,0,"3,058",,
慶泰?飯店,425,"2,698","3,123",490,126,"1,962",114,0,0,0,262,56,53,9,20,31,"3,123",,
天成?飯店,"12,931",441,"13,372",824,"2,209","5,365","1,972","1,555",406,104,195,480,145,99,18,0,"13,372",,
"福容?飯店 台北
?館","2,009","1,326","3,335","1,008","1,250",303,209,105,15,2,187,95,66,23,72,0,"3,335",,
?都?飯店,328,"4,306","4,634","1,004","1,923","1,017",170,131,15,55,65,110,66,23,55,0,"4,634",,
台北君品?酒店,"10,754","1,274","12,028","1,144","2,122","2,726","1,526","2,564",400,98,259,678,346,86,79,0,"12,028",,
台北花園?酒店,"10,922","1,399","12,321",654,"5,731","1,911","1,332",737,241,771,473,268,140,53,10,0,"12,321",,
?勝?加賀屋國際溫泉飯店,"3,640",122,"3,762","1,861",932,277,35,539,15,6,6,56,15,16,4,0,"3,762",,
北投麗禧溫泉酒店,"3,131",287,"3,418","1,384",758,74,222,716,20,13,17,134,64,8,8,0,"3,418",,
寒舍艾麗酒店,"4,810",363,"5,173",766,"1,826",107,172,688,340,106,168,392,212,183,213,0,"5,173",,
北投老爺酒店,"1,901",117,"2,018",942,387,16,0,387,40,2,143,86,6,9,0,0,"2,018",,
台北有園飯店,621,472,"1,093",237,548,66,19,112,10,9,50,9,14,9,10,0,"1,093",,
合尊酒店,"1,968",50,"2,018",609,891,40,11,191,27,19,30,52,82,26,40,0,"2,018",,
台北中?雅樂軒酒店,"2,625",59,"2,684",404,645,313,92,289,152,124,78,471,79,35,2,0,"2,684",,
總計Total,"290,547","92,684","383,231","63,366","101,689","91,119","29,291","26,178","8,614","4,348","11,840","28,210","11,064","3,283","3,748",481,"383,231",,
,,,,,,,,,,,,,,,,,,,
觀光旅館營運?報表單?-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,,
列印?期,2019/06/18,?雄地區,,資料期間:,,2019年2??2019年2?(Data for 2019/2~2019/2),,,,,,,,,,,,,
,住客類別統計No. of Guests by Type,,,各地區旅客?數統計No. of Guests by Country / Region,,,,,,,,,,,,,,,
旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
華王?飯店,"3,621","2,667","6,288","5,287",201,262,56,68,23,9,219,25,123,15,0,0,"6,288",,
華園?飯店,"6,951","5,846","12,797","6,928","3,072","1,015","1,152",96,10,192,159,132,41,0,0,0,"12,797",,
?雄國賓?飯店,"11,458","8,030","19,488","10,101","4,343","3,015",403,750,44,84,83,326,127,25,187,0,"19,488",,
漢來?飯店,"14,732","4,503","19,235","10,768","2,566","1,735",0,0,0,0,"2,652",491,450,124,449,0,"19,235",,
?雄福華?飯店,"11,186","2,997","14,183","6,157","2,597","3,483",305,203,94,35,394,247,302,148,218,0,"14,183",,
君鴻國際酒店,"11,206","9,267","20,473","8,966","5,782",907,"2,927",382,81,104,650,141,434,67,32,0,"20,473",,
寒軒國際?飯店,"8,016","7,359","15,375","8,006","4,434","1,705",468,241,84,47,122,115,142,4,7,0,"15,375",,
麗尊?酒店,"6,250","1,950","8,200","5,030","1,614",415,433,294,86,29,83,28,113,21,54,0,"8,200",,
義?皇家酒店,"12,904","12,534","25,438","21,251",506,58,"2,782",247,26,24,433,66,20,5,20,0,"25,438",,
